post_title,sku,product_id,ca_product
Pierre Jean Villa Saint-Joseph Préface 2018,15298,3847,145.2
Domaine Saint-Nicolas Fiefs Vendéens Rouge La Grande Pièce 2013,14679,5474,168.0
Chili De Martino Viejas Tinajas Cinsault 2013,12496,5397,0.0
Chili Montsecano (Ostertag) Pinot Noir 2013,12315,5398,39.0
La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,15649,5439,237.6
La Rectorie Banyuls Léon Parcé 2016,14809,5443,118.0
La Préceptorie Maury Rouge Cuvée Aurélie 2017,15155,5444,15.5
La Préceptorie Maury Blanc 2015,12194,5445,0.0
Parcé Frères Banyuls Rimage 2018,16328,5446,0.0
Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,14469,5448,0.0
Clos du Mont-Olivet Châteauneuf-du-Pape 2007,16034,5465,164.39999999999998
Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,15526,5477,79.2
Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,13913,5026,0.0
Domaine Bulliat Beaujolais Blanc 2019,16305,5479,30.599999999999998
Domaine Bulliat Chiroubles Cuvée Félix 2019,16306,5480,10.4
Domaine Bulliat Moulin-à-Vent 2017,15138,5481,0.0
David-Beaupère Juliénas La Bottière Vieilles Vignes 2018,15753,5483,0.0
David-Beaupère Juliénas Vayolette 2017,15756,5484,21.6
Decelle-Villa Savigny-Lès-Beaune Blanc 2018,16131,5485,100.19999999999999
Decelle-Villa Meursault 2018,16130,5486,445.5
Decelle-Villa Nuits-Saint-Georges Rouge 2016,16129,5487,130.5
Decelle-Villa Beaune Rouge 2015,14712,5488,0.0
Chili De Martino Gallardia Cinsault 2017,14626,5396,0.0
Chili Errazuriz Cabernet Sauvignon 2016,15095,5395,0.0
Chili Valdivieso Merlot 2017,15462,5394,0.0
Australie Harkham Wines Old Vines 2011,12494,5393,0.0
Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,531,5047,292.5
Domaine de Montgilet Anjou Rouge 2016,13531,5056,7.5
Lucien Boillot Gevrey Chambertin Les Evocelles 2017,15711,5061,0.0
Lucien Boillot Gevrey Chambertin 2017,15713,5062,90.0
Lucien Boillot Pommard 1er Cru Les Croix Noires 2017,15715,5063,0.0
Albert Mann Pinot Noir Grand H 2017,15346,5067,958.4
Albert Mann Pinot Noir Grand P 2017,15345,5068,0.0
Albert Mann Pinot Noir Les Saintes Claires 2017,15344,5069,0.0
David-Beaupère Juliénas Les Trois Verres 2018,15755,5375,15.2
